USER;TAILLE;TEMPS(ns)
552;560;920
120;128;960
1024;1040;960
5;16;1000
120;128;1000
12;32;1000
776;784;960
112;128;960
952;960;1080
216;224;920
432;448;920
104;112;960
88;96;960
120;128;920
168;176;960
104;112;960
80;96;920
192;208;920
12;32;920
12;32;920
12;32;920
12;32;1080
12;32;920
12;32;1040
12;32;920
12;32;1000
12;32;921
12;32;920
12;32;920
12;32;920
12;32;920
34;48;920
10;32;920
56;64;960
56;64;920
128;144;920
19200;19216;3960
32;48;920
2;16;960
32816;32832;3680
11;32;960
6;16;960
14;32;960
9;32;920
13;32;960
4;16;960
6;16;960
15;32;960
14;32;920
6;16;960
14;32;960
7;16;960
16;32;920
12;32;960
14;32;960
9;32;920
10;32;920
14;32;3360
9;32;920
9;32;920
17;32;920
9;32;960
9;32;960
12;32;960
576;592;1000
